08/08/2016 00:33:18:699 [19548] | INFO  | Initializing Crosire's ReShade version '0.19.0.890' built on '2015-06-22 21:22:17' loaded from "C:\Users\Administrator\Dropbox\Documents\Personal\Creations\Games\Quaternion\opengl32.DLL" to "C:\Users\Administrator\Dropbox\Documents\Personal\Creations\Games\Quaternion\marbleblast_ex.exe" ...
08/08/2016 00:33:18:777 [19548] | INFO  | Registering hooks for "C:\windows\system32\d3d8.dll" ...
08/08/2016 00:33:18:898 [19548] | INFO  | > Delayed.
08/08/2016 00:33:18:898 [19548] | INFO  | Registering hooks for "C:\windows\system32\d3d9.dll" ...
08/08/2016 00:33:18:925 [19548] | INFO  | > Delayed.
08/08/2016 00:33:18:925 [19548] | INFO  | Registering hooks for "C:\windows\system32\d3d10.dll" ...
08/08/2016 00:33:18:945 [19548] | INFO  | > Delayed.
08/08/2016 00:33:18:945 [19548] | INFO  | Registering hooks for "C:\windows\system32\d3d10_1.dll" ...
08/08/2016 00:33:19:188 [19548] | INFO  | > Delayed.
08/08/2016 00:33:19:188 [19548] | INFO  | Registering hooks for "C:\windows\system32\d3d11.dll" ...
08/08/2016 00:33:19:225 [19548] | INFO  | > Delayed.
08/08/2016 00:33:19:225 [19548] | INFO  | Registering hooks for "C:\windows\system32\dxgi.dll" ...
08/08/2016 00:33:19:226 [19548] | INFO  | > Delayed.
08/08/2016 00:33:19:226 [19548] | INFO  | Registering hooks for "C:\windows\system32\opengl32.dll" ...
08/08/2016 00:33:19:226 [19548] | INFO  | > Delayed.
08/08/2016 00:33:19:226 [19548] | INFO  | Registering hooks for "C:\windows\system32\user32.dll" ...
08/08/2016 00:33:19:226 [19548] | INFO  | > Libraries loaded.
08/08/2016 00:33:19:236 [19548] | INFO  | > Found 5 match(es). Installing ...
08/08/2016 00:33:19:333 [19548] | INFO  | > Installed 5 hook(s).
08/08/2016 00:33:19:333 [19548] | INFO  | Registering hooks for "C:\windows\system32\ws2_32.dll" ...
08/08/2016 00:33:19:400 [19548] | INFO  | > Libraries loaded.
08/08/2016 00:33:19:402 [19548] | INFO  | > Found 8 match(es). Installing ...
08/08/2016 00:33:19:554 [19548] | INFO  | > Installed 8 hook(s).
08/08/2016 00:33:19:554 [19548] | INFO  | Initialized.
08/08/2016 00:33:19:608 [19548] | INFO  | Redirecting 'RegisterClassA(0018D1FC)' ...
08/08/2016 00:33:19:991 [19548] | INFO  | Installing delayed hooks for "C:\windows\system32\opengl32.dll" ...
08/08/2016 00:33:19:994 [19548] | INFO  | > Found 360 match(es). Installing ...
08/08/2016 00:33:19:995 [19548] | INFO  | > Installed 360 hook(s).
